Frame,Time
1658190027.0218933,0
1658190027.0218933,1
1658190027.0218933,2
1658190027.0218933,3
1658190027.0218933,4
1658190027.0218933,5
1658190027.0218933,6
1658190027.0218933,7
1658190027.0218933,8
1658190027.0218933,9
1658190027.0218933,10
1658190027.0218933,11
1658190027.0218933,12
1658190027.0218933,13
1658190027.0218933,14
